task,shell,seed,op,t_param,t_init,n_nodes,mae,aurc,train_mae,const_mae,beats_const,valid,monotone,loss_thirds,t_learned,params,epochs,n_train,n_eval,hidden,n_layers,secs,device
hops,s4400,0,gcn,softplus,2.0,4400,0.1872852918483091,0.2515079648861745,0.18728529185056686,0.1873957733403553,True,True,True,"[0.06767, 0.0493, 0.04925]",[],612,200,8,6,16,3,19.3,cuda
hops,s4400,0,heat,softplus,2.0,4400,0.18727297149485708,0.2527590191078528,0.187272970454598,0.1873957733403553,True,True,True,"[0.06768, 0.0493, 0.04925]","[0.6547, 0.4174, 0.4173]",612,200,8,6,16,3,60.2,cuda
hops,s4400,0,qw,softplus,2.0,4400,0.1872707703540271,0.25275703463288834,0.18727077274752613,0.1873957733403553,True,True,True,"[0.06768, 0.0493, 0.04925]","[0.6485, 0.5141, 0.5135]",612,200,8,6,16,3,120.6,cuda
hops,s4400,1,gcn,softplus,2.0,4400,0.1860806364825729,0.25059475400367,0.18608063649470835,0.1873957731416731,True,True,True,"[0.07511, 0.04931, 0.04894]",[],612,200,8,6,16,3,17.6,cuda
hops,s4400,1,heat,softplus,2.0,4400,0.18736760910939088,0.25288083676844814,0.18736761081455783,0.1873957731416731,True,True,True,"[0.07499, 0.04935, 0.04933]","[1.0193, 0.8773, 0.8773]",612,200,8,6,16,3,61.0,cuda
hops,s4400,1,qw,softplus,2.0,4400,0.18736774677805831,0.2528815033735699,0.18736774679612028,0.1873957731416731,True,True,True,"[0.075, 0.04935, 0.04933]","[1.2716, 0.9471, 0.9453]",612,200,8,6,16,3,122.8,cuda
hops,s4400,2,gcn,softplus,2.0,4400,0.18717888851734724,0.25206258951425475,0.18717888852327386,0.18739577294299095,True,True,True,"[0.08098, 0.04929, 0.04922]",[],612,200,8,6,16,3,17.7,cuda
hops,s4400,2,heat,softplus,2.0,4400,0.18722987890356416,0.25270355067025546,0.18722988007759506,0.18739577294299095,True,True,True,"[0.08099, 0.04929, 0.04922]","[1.0483, 0.4106, 0.4106]",612,200,8,6,16,3,61.6,cuda
hops,s4400,2,qw,softplus,2.0,4400,0.18722864407255793,0.25268856267238154,0.18722864288836719,0.18739577294299095,True,True,True,"[0.08099, 0.04929, 0.04922]","[0.7322, 0.5197, 0.5218]",612,200,8,6,16,3,125.0,cuda
hops,s4400,3,gcn,softplus,2.0,4400,0.1871496145111142,0.2511768040460667,0.18714961450970308,0.18739577334035526,True,True,True,"[0.05869, 0.04931, 0.04924]",[],612,200,8,6,16,3,17.7,cuda
hops,s4400,3,heat,softplus,2.0,4400,0.1872973772285111,0.25278925666660285,0.18729737894101578,0.18739577334035526,True,True,True,"[0.05869, 0.04931, 0.04927]","[0.6679, 0.3773, 0.3773]",612,200,8,6,16,3,61.3,cuda
hops,s4400,3,qw,softplus,2.0,4400,0.18729496279562063,0.252785450037167,0.18729496169665996,0.18739577334035526,True,True,True,"[0.05869, 0.04931, 0.04927]","[0.6718, 0.5011, 0.4595]",612,200,8,6,16,3,124.5,cuda
hops,s4400,4,gcn,softplus,2.0,4400,0.18717923138629308,0.2526652544157266,0.1871792315776375,0.18739577353903739,True,True,True,"[0.07117, 0.04929, 0.04919]",[],612,200,8,6,16,3,17.9,cuda
hops,s4400,4,heat,softplus,2.0,4400,0.18716358938451969,0.2526476284218994,0.1871635936412283,0.18739577353903739,True,True,True,"[0.0716, 0.04929, 0.04919]","[1.7267, 0.719, 0.7191]",612,200,8,6,16,3,62.0,cuda
hops,s4400,4,qw,softplus,2.0,4400,0.1871623021556121,0.2526467040696662,0.18716230397959321,0.18739577353903739,True,True,True,"[0.0716, 0.0493, 0.04919]","[1.3859, 0.8011, 0.8011]",612,200,8,6,16,3,126.2,cuda
hops,s4400,5,gcn,softplus,2.0,4400,0.1872051919861273,0.25270465275612947,0.18720519198189406,0.1873957731416731,True,True,True,"[0.07136, 0.04926, 0.0492]",[],612,200,8,6,16,3,17.8,cuda
hops,s4400,5,heat,softplus,2.0,4400,0.18718539397034684,0.25268358926941503,0.18718540037982168,0.1873957731416731,True,True,True,"[0.07143, 0.04926, 0.04919]","[1.0563, 0.4428, 0.4428]",612,200,8,6,16,3,62.0,cuda
hops,s4400,5,qw,softplus,2.0,4400,0.18641617170111702,0.25042609065831756,0.18641616232862526,0.1873957731416731,True,True,True,"[0.07143, 0.04924, 0.04883]","[1.3056, 0.7393, 0.7374]",612,200,8,6,16,3,124.8,cuda
hops,s4400,6,gcn,softplus,2.0,4400,0.18722951290959663,0.2527147894009264,0.18722951291467654,0.18739577294299095,True,True,True,"[0.07849, 0.04928, 0.04922]",[],612,200,8,6,16,3,17.7,cuda
hops,s4400,6,heat,softplus,2.0,4400,0.18720720059718143,0.25269052142869014,0.18720719941129738,0.18739577294299095,True,True,True,"[0.0787, 0.04928, 0.04921]","[0.8684, 0.4195, 0.4195]",612,200,8,6,16,3,62.5,cuda
hops,s4400,6,qw,softplus,2.0,4400,0.1872044528332172,0.252688419050019,0.18720445188439705,0.18739577294299095,True,True,True,"[0.07871, 0.04928, 0.0492]","[0.7347, 0.536, 0.5377]",612,200,8,6,16,3,124.5,cuda
hops,s4400,7,gcn,softplus,2.0,4400,0.18726452227794763,0.2527471882438395,0.1872645222641189,0.18739577294299095,True,True,True,"[0.09063, 0.04931, 0.04924]",[],612,200,8,6,16,3,17.5,cuda
hops,s4400,7,heat,softplus,2.0,4400,0.18725479124960573,0.25273325185088136,0.18725479119033978,0.18739577294299095,True,True,True,"[0.09066, 0.04931, 0.04924]","[0.8256, 0.4451, 0.4466]",612,200,8,6,16,3,62.4,cuda
hops,s4400,7,qw,softplus,2.0,4400,0.18725362560514247,0.2527285197732015,0.18725362530740147,0.18739577294299095,True,True,True,"[0.09066, 0.04931, 0.04924]","[0.7357, 0.5375, 0.5363]",612,200,8,6,16,3,126.0,cuda
hops,s4400,8,gcn,softplus,2.0,4400,0.187246083275161,0.2527154515802505,0.18724608325399456,0.18739577334035526,True,True,True,"[0.08222, 0.04927, 0.04922]",[],612,200,8,6,16,3,17.9,cuda
hops,s4400,8,heat,softplus,2.0,4400,0.186155814185287,0.25452234843083427,0.18615581635555084,0.18739577334035526,True,True,True,"[0.08222, 0.04925, 0.04875]","[1.3263, 1.0944, 0.9222]",612,200,8,6,16,3,62.0,cuda
hops,s4400,8,qw,softplus,2.0,4400,0.18610375119316758,0.25428345547981174,0.18610374866561458,0.18739577334035526,True,True,True,"[0.08222, 0.04924, 0.04872]","[1.281, 1.2855, 0.8262]",612,200,8,6,16,3,125.5,cuda
hops,s4400,9,gcn,softplus,2.0,4400,0.18720239887070478,0.25271966915136557,0.18720239885744044,0.18739577334035526,True,True,True,"[0.07043, 0.04929, 0.04921]",[],612,200,8,6,16,3,17.8,cuda
hops,s4400,9,heat,softplus,2.0,4400,0.18719602271462932,0.25270878896859533,0.18719602562487125,0.18739577334035526,True,True,True,"[0.07043, 0.0493, 0.04921]","[0.748, 0.7022, 0.7022]",612,200,8,6,16,3,61.3,cuda
hops,s4400,9,qw,softplus,2.0,4400,0.18719294573773038,0.25270537168519097,0.18719295118766074,0.18739577334035526,True,True,True,"[0.07043, 0.0493, 0.04921]","[0.8034, 0.7662, 0.7668]",612,200,8,6,16,3,125.8,cuda
delay,s4400,0,gcn,softplus,2.0,4400,0.1688957222963147,0.22561176448321554,0.1682340316900412,0.1685373764863294,False,True,True,"[0.0624, 0.04198, 0.04186]",[],612,200,8,6,16,3,20.0,cuda
delay,s4400,0,heat,softplus,2.0,4400,0.16879665120589463,0.22116069381227665,0.16805467368722682,0.1685373764863294,False,True,True,"[0.0624, 0.04198, 0.04193]","[0.6493, 0.3972, 0.3972]",612,200,8,6,16,3,63.5,cuda
delay,s4400,0,qw,softplus,2.0,4400,0.1687929533642124,0.22115698419119054,0.16805092191180765,0.1685373764863294,False,True,True,"[0.06241, 0.04198, 0.04192]","[0.6515, 0.4802, 0.4804]",612,200,8,6,16,3,127.2,cuda
delay,s4400,1,gcn,softplus,2.0,4400,0.1673935798237058,0.22237354860403094,0.17199981481842275,0.1681745908082336,True,True,True,"[0.07135, 0.04395, 0.04357]",[],612,200,8,6,16,3,19.8,cuda
delay,s4400,1,heat,softplus,2.0,4400,0.168963073032633,0.22649951923007725,0.173297790923812,0.1681745908082336,False,True,True,"[0.07124, 0.04399, 0.04397]","[1.0116, 0.8547, 0.8547]",612,200,8,6,16,3,64.3,cuda
delay,s4400,1,qw,softplus,2.0,4400,0.16896312246610634,0.22649977317601896,0.17329782511351038,0.1681745908082336,False,True,True,"[0.07124, 0.04399, 0.04397]","[1.0343, 0.9265, 0.9271]",612,200,8,6,16,3,128.5,cuda
delay,s4400,2,gcn,softplus,2.0,4400,0.16934531819158247,0.2226510966275156,0.16943452511342583,0.16905582442285252,False,True,True,"[0.07678, 0.04255, 0.04248]",[],612,200,8,6,16,3,677.8,cuda
delay,s4400,2,heat,softplus,2.0,4400,0.16944577405255667,0.22346818155140144,0.1695339621690271,0.16905582442285252,False,True,True,"[0.07679, 0.04256, 0.04248]","[1.0001, 0.3912, 0.3912]",612,200,8,6,16,3,101.0,cuda
delay,s4400,2,qw,softplus,2.0,4400,0.16944099142101496,0.22345027845735785,0.16952920631950044,0.16905582442285252,False,True,True,"[0.07679, 0.04256, 0.04248]","[0.7261, 0.4874, 0.4886]",612,200,8,6,16,3,227.4,cuda
