task,shell,seed,op,t_param,t_init,n_nodes,mae,aurc,train_mae,const_mae,beats_const,valid,monotone,loss_thirds,t_learned,params,epochs,n_train,n_eval,hidden,n_layers,secs,device
hops,s4400,0,gcn,relu,0.5,4400,0.18727057079361242,0.2530495001901643,0.18727057080715892,0.1873957733403553,True,True,True,"[0.07732, 0.0493, 0.04925]",[],3301,200,8,6,32,4,701.1,cuda
hops,s4400,0,heat,relu,0.5,4400,0.18725535341171604,0.2527282476066513,0.1872553547133099,0.1873957733403553,True,True,True,"[0.07735, 0.0493, 0.04924]","[1.043, -0.1409, -0.1403, -0.1406]",3301,200,8,6,32,4,117.2,cuda
hops,s4400,0,qw,relu,0.5,4400,0.18657719804482023,0.25245442561995163,0.18657719470560552,0.1873957733403553,True,True,True,"[0.07734, 0.04921, 0.04891]","[-0.0366, 1.5584, 0.2329, 0.9155]",3301,200,8,6,32,4,229.7,cuda
hops,s4400,1,gcn,relu,0.5,4400,0.18695068544397753,0.2505110863386026,0.1869506854648617,0.1873957731416731,True,True,True,"[0.06326, 0.0493, 0.04921]",[],3301,200,8,6,32,4,490.7,cuda
hops,s4400,1,heat,relu,0.5,4400,0.18725390931196287,0.25272176338272817,0.1872538984939456,0.1873957731416731,True,True,True,"[0.06289, 0.04929, 0.04924]","[1.2077, -0.0826, -0.1422, -0.1506]",3301,200,8,6,32,4,113.8,cuda
hops,s4400,1,qw,relu,0.5,4400,0.18676827623875755,0.2522997137504996,0.1867682561676272,0.1873957731416731,True,True,True,"[0.06329, 0.04929, 0.04907]","[0.7804, 1.4558, -0.0271, -0.0302]",3301,200,8,6,32,4,228.5,cuda
hops,s4400,2,gcn,relu,0.5,4400,0.18734049525224802,0.2526943402429427,0.18734049525789237,0.18739577294299095,True,True,True,"[0.05837, 0.04932, 0.0493]",[],3301,200,8,6,32,4,26.7,cuda
hops,s4400,2,heat,relu,0.5,4400,0.187333479157903,0.2528136734816968,0.1873334791866893,0.18739577294299095,True,True,True,"[0.05836, 0.04932, 0.0493]","[0.6512, -0.0102, -0.1507, -0.1501]",3301,200,8,6,32,4,79.8,cuda
hops,s4400,2,qw,relu,0.5,4400,0.18733382988721134,0.2528136529168275,0.18733382869596507,0.18739577294299095,True,True,True,"[0.05835, 0.04932, 0.0493]","[0.6475, 0.0003, -0.0011, -0.0011]",3301,200,8,6,32,4,247.2,cuda
hops,s4400,3,gcn,relu,0.5,4400,0.18732985124782178,0.2527816037331832,0.18732985123653303,0.18739577334035526,True,False,True,"[0.05352, 0.04932, 0.0493]",[],3301,200,8,6,32,4,21.7,cuda
hops,s4400,3,heat,relu,0.5,4400,0.18732291512304186,0.25277438689829074,0.1873229176364839,0.18739577334035526,True,False,True,"[0.05352, 0.04932, 0.04929]","[0.8614, -0.1694, -0.157, -0.1657]",3301,200,8,6,32,4,70.1,cuda
hops,s4400,3,qw,relu,0.5,4400,0.18625162340869958,0.2514369736775221,0.1862516498764638,0.18739577334035526,True,False,True,"[0.05352, 0.04929, 0.04898]","[0.8295, -0.0322, -0.0173, -0.0593]",3301,200,8,6,32,4,243.1,cuda
hops,s4400,4,gcn,relu,0.5,4400,0.1867260279506445,0.2516579937308391,0.1867260279464112,0.18739577353903739,True,True,True,"[0.06039, 0.04919, 0.04898]",[],3301,200,8,6,32,4,18.4,cuda
hops,s4400,4,heat,relu,0.5,4400,0.18723946686269657,0.25268114741169007,0.1872394620999694,0.18739577353903739,True,True,True,"[0.06046, 0.04928, 0.04923]","[1.7599, -0.1406, -0.1387, -0.1385]",3301,200,8,6,32,4,78.8,cuda
hops,s4400,4,qw,relu,0.5,4400,0.18726874910633673,0.2527193487372878,0.18726873712529513,0.18739577353903739,True,True,True,"[0.0604, 0.04929, 0.04925]","[0.744, 0.5402, 0.055, 0.0121]",3301,200,8,6,32,4,204.3,cuda
hops,s4400,5,gcn,relu,0.5,4400,0.1871873059281797,0.252542825696587,0.18718730593015526,0.1873957731416731,True,True,True,"[0.0663, 0.0493, 0.04921]",[],3301,200,8,6,32,4,18.6,cuda
hops,s4400,5,heat,relu,0.5,4400,0.18704681842728998,0.25951574302014985,0.1870468154778196,0.1873957731416731,True,True,True,"[0.06665, 0.04932, 0.04916]","[0.8644, -0.1388, -0.1378, -0.127]",3301,200,8,6,32,4,86.9,cuda
hops,s4400,5,qw,relu,0.5,4400,0.18685228049755098,0.25190067478707834,0.18685228369537404,0.1873957731416731,True,True,True,"[0.06621, 0.04919, 0.04899]","[-0.0748, 0.9266, 0.9519, 0.3691]",3301,200,8,6,32,4,204.7,cuda
hops,s4400,6,gcn,relu,0.5,4400,0.18714839166312505,0.2558346978609831,0.18714839160611685,0.18739577294299095,True,True,True,"[0.06083, 0.04931, 0.04919]",[],3301,200,8,6,32,4,16.9,cuda
hops,s4400,6,heat,relu,0.5,4400,0.18713622951597877,0.253890293826998,0.18713623198426582,0.18739577294299095,True,True,True,"[0.06105, 0.04931, 0.04923]","[2.0768, -0.1521, -0.1469, -0.1488]",3301,200,8,6,32,4,97.3,cuda
hops,s4400,6,qw,relu,0.5,4400,0.18731864339248702,0.25280340012812574,0.18731865189630875,0.18739577294299095,True,True,True,"[0.06094, 0.04932, 0.04929]","[0.7995, 0.4614, -0.0197, -0.0226]",3301,200,8,6,32,4,204.0,cuda
hops,s4400,7,gcn,relu,0.5,4400,0.18731223476655556,0.2527738698159312,0.1873122347730466,0.18739577294299095,True,True,True,"[0.0575, 0.04931, 0.04928]",[],3301,200,8,6,32,4,20.6,cuda
hops,s4400,7,heat,relu,0.5,4400,0.18729918658394704,0.25275739965475313,0.1872991871876134,0.18739577294299095,True,True,True,"[0.05735, 0.04931, 0.04928]","[1.0349, 0.0218, -0.1544, -0.1533]",3301,200,8,6,32,4,109.2,cuda
hops,s4400,7,qw,relu,0.5,4400,0.18730202703652057,0.2527628302276577,0.18730202817950736,0.18739577294299095,True,True,True,"[0.05739, 0.04931, 0.04928]","[0.7427, 0.5026, -0.0189, -0.0178]",3301,200,8,6,32,4,193.0,cuda
hops,s4400,8,gcn,relu,0.5,4400,0.18578722686662028,0.2502367425013415,0.1857872268809429,0.18739577334035526,True,True,True,"[0.06676, 0.04923, 0.04884]",[],3301,200,8,6,32,4,19.3,cuda
hops,s4400,8,heat,relu,0.5,4400,0.18621157734795954,0.24884184661789174,0.18621158847415992,0.18739577334035526,True,True,True,"[0.06713, 0.04926, 0.04895]","[2.4674, -0.1309, -0.1379, -0.1381]",3301,200,8,6,32,4,114.8,cuda
hops,s4400,8,qw,relu,0.5,4400,0.18578384158624842,0.2537701392387524,0.18578384148972954,0.18739577334035526,True,True,True,"[0.0668, 0.04917, 0.04864]","[-0.1279, 1.6394, 0.6981, 1.0593]",3301,200,8,6,32,4,193.8,cuda
hops,s4400,9,gcn,relu,0.5,4400,0.18736643930727784,0.2528755886578315,0.18736643930558455,0.18739577334035526,True,True,True,"[0.05878, 0.04934, 0.04933]",[],3301,200,8,6,32,4,18.8,cuda
hops,s4400,9,heat,relu,0.5,4400,0.18736560493368995,0.2528741701260601,0.1873656020635231,0.18739577334035526,True,True,True,"[0.05878, 0.04934, 0.04933]","[0.6445, -0.1874, -0.1791, -0.173]",3301,200,8,6,32,4,102.2,cuda
