task,shell,seed,op,t_param,t_init,n_nodes,mae,aurc,train_mae,const_mae,beats_const,valid,monotone,loss_thirds,t_learned,params,epochs,n_train,n_eval,hidden,n_layers,secs,device,seam,ppr_alpha,sgc_k,dtype,const_aurc,ppr_k
hops,s1584,0,gcn,relu,0.5,1584,0.19055910417472988,0.25074933354980783,0.19057349582653108,0.20198252978374062,True,True,True,"[0.06125, 0.05148, 0.05068]",[],3301,1000,8,6,32,4,38.4,cuda,random,0.05,8,float32,0.2582885013474426,20
hops,s1584,0,heat,relu,0.5,1584,0.20197436320109396,0.25372751259854104,0.2019994800248609,0.20198252978374062,True,True,True,"[0.06056, 0.04914, 0.04151]","[11.024, -0.1292, -0.1021, -0.0981]",3301,1000,8,6,32,4,41.9,cuda,random,0.05,8,float32,0.2582885013474426,20
hops,s1584,0,qw,relu,0.5,1584,0.20198294561143074,0.25811175099470746,0.20201235216342012,0.20198252978374062,False,False,False,"[0.06111, 0.05305, 0.0559]","[1.8532, 3.8428, -0.0229, 3.3833]",3301,1000,8,6,32,4,43.3,cuda,random,0.05,8,float32,0.2582885013474426,20
hops,s1584,1,gcn,relu,0.5,1584,0.19075148406686251,0.2508839692692711,0.19040529592938116,0.20218231902231998,True,True,True,"[0.05698, 0.05068, 0.05055]",[],3301,1000,8,6,32,4,36.7,cuda,random,0.05,8,float32,0.258053030422516,20
hops,s1584,1,heat,relu,0.5,1584,0.07007538705440207,0.11842831861408877,0.07004005053639764,0.20218231902231998,True,True,True,"[0.05048, 0.01781, 0.01073]","[-0.2283, -0.0621, -0.0951, 9.1764]",3301,1000,8,6,32,4,41.8,cuda,random,0.05,8,float32,0.258053030422516,20
hops,s1584,1,qw,relu,0.5,1584,0.0715940018640737,0.09914970770196885,0.07655457469926927,0.20218231902231998,True,True,True,"[0.05275, 0.01798, 0.01076]","[5.2033, 5.7904, -0.0209, -0.0179]",3301,1000,8,6,32,4,43.5,cuda,random,0.05,8,float32,0.258053030422516,20
hops,s1584,2,gcn,relu,0.5,1584,0.1906211383843415,0.25012280100233414,0.19014321440787318,0.20205303962026513,True,False,True,"[0.05587, 0.05064, 0.05052]",[],3301,1000,8,6,32,4,36.6,cuda,random,0.05,8,float32,0.25828857370399466,20
hops,s1584,2,heat,relu,0.5,1584,0.10116959557032075,0.15666857054916156,0.10033728488758584,0.20205303962026513,True,True,True,"[0.05615, 0.04476, 0.02322]","[9.9337, 9.4689, -0.2474, -0.0447]",3301,1000,8,6,32,4,42.2,cuda,random,0.05,8,float32,0.25828857370399466,20
hops,s1584,2,qw,relu,0.5,1584,0.10567821426844688,0.1362826312789425,0.104958430218341,0.20205303962026513,True,True,True,"[0.05158, 0.02467, 0.01849]","[-0.0941, 2.29, -0.1641, 5.6201]",3301,1000,8,6,32,4,43.7,cuda,random,0.05,8,float32,0.25828857370399466,20
hops,s1584,3,gcn,relu,0.5,1584,0.19045408838859723,0.250094296064391,0.1905380849927285,0.2018843059449987,True,False,True,"[0.05588, 0.05124, 0.05063]",[],3301,1000,8,6,32,4,36.6,cuda,random,0.05,8,float32,0.258009098158863,20
hops,s1584,3,heat,relu,0.5,1584,0.11170945720753385,0.17291462191337115,0.10650220229346281,0.2018843059449987,True,True,True,"[0.05572, 0.03835, 0.02702]","[12.9596, -0.1592, -0.1447, -0.1498]",3301,1000,8,6,32,4,41.8,cuda,random,0.05,8,float32,0.258009098158863,20
hops,s1584,3,qw,relu,0.5,1584,0.07496222300041054,0.11316539765919437,0.07574750308163178,0.2018843059449987,True,True,True,"[0.05402, 0.03348, 0.01387]","[4.2372, 5.1392, 4.6522, -0.0749]",3301,1000,8,6,32,4,43.2,cuda,random,0.05,8,float32,0.258009098158863,20
hops,s1584,4,gcn,relu,0.5,1584,0.191061314994035,0.24872927956067556,0.19037892148627739,0.20207387719460942,True,True,True,"[0.05759, 0.05332, 0.05056]",[],3301,1000,8,6,32,4,36.6,cuda,random,0.05,8,float32,0.25826282857055666,20
hops,s1584,4,heat,relu,0.5,1584,0.10402072645486286,0.16462617493043907,0.10699139487097095,0.20207387719460942,True,True,True,"[0.05688, 0.03994, 0.0257]","[13.436, -0.0986, -0.1164, -0.1169]",3301,1000,8,6,32,4,42.0,cuda,random,0.05,8,float32,0.25826282857055666,20
hops,s1584,4,qw,relu,0.5,1584,0.08215891740693294,0.12565631746578024,0.0775303052628949,0.20207387719460942,True,True,True,"[0.05742, 0.03593, 0.01179]","[5.2118, 5.799, -0.0192, -0.0186]",3301,1000,8,6,32,4,43.6,cuda,random,0.05,8,float32,0.25826282857055666,20
hops,s1584,5,gcn,relu,0.5,1584,0.19069209104456378,0.2499851347342782,0.19078098448443773,0.20196804895535303,True,True,True,"[0.05933, 0.05165, 0.05069]",[],3301,1000,8,6,32,4,36.6,cuda,random,0.05,8,float32,0.2578675979227096,20
hops,s1584,5,heat,relu,0.5,1584,0.1601495289575757,0.21087347350291408,0.16023477282101112,0.20196804895535303,True,True,True,"[0.05685, 0.03824, 0.02477]","[7.5155, 9.8662, -0.0955, -0.1163]",3301,1000,8,6,32,4,41.9,cuda,random,0.05,8,float32,0.2578675979227096,20
